lon,lat,origin,,lon,lat,destination
120.32498,36.072693,c1,,120.32703,36.072927,c2
120.32703,36.072927,c2,,120.32846,36.073306,c3
120.32846,36.073306,c3,,120.32933,36.072752,c4
120.32933,36.072752,c4,,120.32972,36.071235,c5
120.32972,36.071235,c5,,120.32979,36.070739,c6
120.32979,36.070739,c6,,120.33163,36.070097,c7
120.33163,36.070097,c7,,120.33393,36.071993,c8
120.33393,36.071993,c8,,120.33252,36.073889,c9
120.33252,36.073889,c9,,120.3313,36.074794,c10
120.3313,36.074794,c10,,120.33216,36.075202,c11
120.33216,36.075202,c11,,120.33378,36.075056,c12
120.33378,36.075056,c12,,120.33472,36.075085,c13
120.33472,36.075085,c13,,120.33536,36.074998,c14
120.33536,36.074998,c14,,120.33605,36.075465,c15
120.33605,36.075465,c15,,120.33612,36.075414,c16
120.33612,36.075414,c16,,120.33628,36.074976,c17
120.33628,36.074976,c17,,120.33714,36.074699,c18
120.33714,36.074699,c18,,120.33854,36.074028,c19
120.33854,36.074028,c19,,120.33879,36.074101,c20
120.33879,36.074101,c20,,120.34045,36.073284,c21
120.34045,36.073284,c21,,120.34126,36.073736,c22
120.34126,36.073736,c22,,120.34113,36.07219,c23
120.34113,36.07219,c23,,120.34117,36.072223,c24
120.34117,36.072223,c24,,120.34235,36.071829,c25
120.34235,36.071829,c25,,120.34282,36.072617,c26
120.34282,36.072617,c26,,120.34429,36.07425,c27
120.34429,36.07425,c27,,120.34645,36.071406,c28
120.34645,36.071406,c28,,120.34724,36.071406,c29
120.34724,36.071406,c29,,120.34776,36.071114,c30
120.34776,36.071114,c30,,120.34859,36.071421,c31
120.34859,36.071421,c31,,120.35212,36.073988,c32
120.35212,36.073988,c32,,120.3522,36.075461,c33
120.3522,36.075461,c33,,120.35441,36.080697,c34
120.35441,36.080697,c34,,120.35441,36.082797,c35
120.35441,36.082797,c35,,120.36743,36.084037,c36
120.36743,36.084037,c36,,120.37638,36.08551,c37
120.37638,36.08551,c37,,120.38459,36.088864,c38
120.38459,36.088864,c38,,120.39178,36.088937,c39
120.39178,36.088937,c39,,120.39179,36.088952,c40
120.39179,36.088952,c40,,120.39179,36.088952,c41
120.39179,36.088952,c41,,120.39749,36.071771,c42
120.39749,36.071771,c42,,120.4071,36.070589,c43
120.4071,36.070589,c43,,120.41761,36.071858,c44
120.41756,36.071909,c44,,120.42767,36.070859,c45
120.42767,36.070859,c45,,120.42997,36.071822,c46
120.42997,36.071822,c46,,120.45088,36.082659,c47
120.45088,36.082659,c47,,120.45771,36.092575,c48
120.45771,36.092575,c48,,120.45951,36.094734,c49
120.45951,36.094734,c49,,120.46698,36.096717,c50
120.46698,36.096717,c50,,120.47259,36.100741,c51
120.47259,36.100741,c51,,120.47525,36.101966,c52
120.47525,36.101966,c52,,120.47525,36.101966,c53
120.47525,36.101966,c53,,120.48588,36.110364,c54
120.48588,36.110364,c54,,120.48588,36.110364,c55
120.48588,36.110364,c55,,120.49134,36.122143,c56
120.49134,36.122143,c56,,120.49178,36.12226,c57
120.49178,36.12226,c57,,120.49221,36.146978,c58
120.49221,36.146978,c58,,120.49695,36.166677,c59
120.49695,36.166677,c59,,120.50902,36.178214,c60
120.50902,36.178214,c60,,120.52986,36.203614,c61
120.52986,36.203614,c61,,120.54467,36.221668,c62
120.54467,36.221668,c62,,120.55854,36.234886,c63
120.55854,36.234886,c63,,120.56141,36.241465,c64
120.56141,36.241465,c64,,120.57701,36.260092,c65
120.57701,36.260092,c65,,120.61502,36.291633,c66
120.61502,36.291633,c66,,120.61531,36.291865,c67
120.61531,36.291865,c67,,120.64125,36.323567,c68
120.64125,36.323567,c68,,120.66332,36.351012,c69
120.66332,36.351012,c69,,120.67287,36.364033,c70
120.67287,36.364033,c70,,120.67474,36.372868,c71
120.67474,36.372868,c71,,120.67474,36.372868,c72
120.67474,36.372868,c72,,120.65462,36.436656,c73
120.32499,36.07263,b1,,120.32705,36.072958,b2
120.32705,36.072958,b2,,120.32838,36.073271,b3
120.32838,36.073271,b3,,120.32868,36.073585,b4
120.32868,36.073585,b4,,120.32947,36.0743,b5
